id,order_id,product_id,quantity,unit_price
1,1,143,1,7727.4
2,1,755,1,3867.45
3,2,617,1,6000.3
4,2,28,1,3933.0
5,3,826,2,4480.0
6,3,164,1,6724.0
7,4,868,1,1947.0
8,4,353,2,7543.8
9,5,301,1,232.0
10,5,850,1,3805.0
11,6,82,1,9662.0
12,6,876,1,7893.55
13,7,274,3,7849.0
14,7,719,1,5252.0
15,8,277,2,1744.0
16,8,948,2,4683.0
17,8,656,1,9894.0
18,9,966,2,1578.0
19,9,581,1,7434.7
20,10,272,2,2871.0
21,10,143,1,7727.4
22,10,253,1,8090.1
23,11,94,2,9164.0
24,11,774,1,7884.05
25,11,49,1,8307.75
26,12,995,3,2736.0
27,12,567,2,4786.2
28,12,882,2,7267.0
29,13,977,2,8774.1
30,13,740,2,4392.9
31,13,897,3,3032.0
32,14,166,3,8411.4
33,14,553,3,8900.1
34,15,900,1,1376.0
35,15,852,2,7019.0
36,15,827,1,6500.85
37,15,315,2,1911.6
38,16,170,1,6311.0
39,16,272,3,3190.0
40,16,541,2,5470.1
41,16,894,4,1989.0
42,16,622,1,5391.0
43,17,22,1,4069.8
44,17,603,1,4806.0
45,18,339,1,2958.0
46,18,73,2,9205.0
47,19,591,1,8549.05
48,19,485,1,6129.0
49,19,249,2,8217.0
50,19,804,1,7715.9
51,20,413,1,8412.0
52,20,746,1,8033.0
53,21,474,2,1206.0
54,21,256,1,4027.5
55,22,993,2,428.0
56,22,96,1,4203.75
57,22,949,1,3198.65
58,22,772,3,9524.0
59,23,803,1,8458.8
60,23,804,2,7309.8
61,24,60,2,6769.0
62,24,594,2,4301.0
63,25,544,1,4482.0
64,25,162,1,3695.0
65,25,59,2,7844.0
66,25,984,1,4800.6
67,26,430,1,6521.0
68,26,674,3,6179.0
69,26,598,2,8800.0
70,27,308,3,3389.0
71,27,469,1,2851.2
72,27,324,4,8950.0
73,28,956,2,7828.0
74,28,358,1,4276.0
75,29,827,1,6158.7
76,29,670,1,7686.0
77,30,567,1,4786.2
78,30,160,1,6489.0
79,31,501,3,7471.0
80,31,258,1,3819.0
81,32,653,1,1850.6
82,32,269,1,2534.0
83,32,166,1,9346.0
84,32,760,1,1233.0
85,33,316,2,4395.0
86,33,374,2,6666.0
87,34,906,1,5079.0
88,34,896,3,7829.0
89,34,417,2,9608.0
90,34,998,2,7213.0
91,35,422,2,4159.0
92,35,822,1,2381.0
93,35,686,1,5226.0
94,35,885,2,307.0
95,36,841,2,1731.0
96,36,815,1,8998.0
97,37,792,1,2995.2
98,37,286,1,4505.4
99,38,268,4,9716.0
100,38,183,1,8903.4
101,38,595,1,8924.0
102,38,986,1,3181.5
103,39,46,1,1352.7
104,39,726,3,8872.2
105,40,943,2,583.0
106,40,339,1,2810.1
107,40,639,1,5149.0
108,40,322,1,2002.0
109,40,680,1,7548.7
110,41,854,1,1778.0
111,41,1,1,1731.6
112,42,692,1,5630.0
113,42,219,2,9553.0
114,43,839,2,9568.0
115,43,975,1,7257.0
116,44,626,1,3346.2
117,44,871,1,8941.4
118,44,787,1,578.0
119,44,75,1,8983.0
120,44,467,2,2452.0
121,45,531,3,2626.0
122,45,476,1,784.7
123,45,52,2,1873.8
124,45,571,1,353.4
125,45,256,1,4027.5
126,46,163,2,546.25
127,46,762,1,2625.0
128,47,245,1,7345.0
129,47,282,1,5288.0
130,47,451,1,2453.4
131,48,157,1,6633.85
132,48,724,1,5189.4
133,49,399,3,1834.0
134,49,927,2,1857.6
135,49,789,1,3619.0
136,49,599,3,1741.0
137,50,766,1,5391.0
138,50,753,2,4984.65
139,51,345,2,7129.75
140,51,685,2,7402.4
141,52,404,1,5824.0
142,52,607,1,7805.2
143,53,389,1,226.0
144,53,336,1,3721.15
145,54,855,1,4501.8
146,54,84,1,4451.0
147,55,42,1,2746.0
148,55,773,1,6508.0
149,55,32,1,1896.0
150,55,973,1,6581.0
151,55,254,1,3173.0
152,56,736,3,7453.0
153,56,118,1,552.0
154,56,797,1,4724.35
155,56,839,1,9568.0
156,56,168,1,923.0
157,57,615,4,3264.0
158,57,825,1,5131.9
159,57,124,2,8921.0
160,57,816,1,781.0
161,58,444,1,4911.5
162,58,984,2,5067.3
163,58,371,1,4032.9
164,59,496,2,6079.5
165,59,477,1,2968.0
166,59,447,2,6959.0
167,60,584,1,2790.15
168,60,625,2,2023.0
169,60,685,1,7792.0
170,60,389,2,226.0
171,61,570,1,9322.0
172,61,11,2,1599.8
173,61,530,1,8334.0
174,61,971,2,9225.45
175,62,415,1,4322.7
176,62,709,1,6858.0
177,63,361,1,6205.0
178,63,720,1,2462.0
179,63,465,1,7460.1
180,64,742,1,8637.0
181,64,604,4,1069.0
182,64,779,1,7901.0
183,65,281,1,1415.0
184,65,47,2,8827.0
185,65,998,1,6852.35
186,66,491,1,1780.0
187,66,452,1,2388.3
188,67,591,1,8999.0
189,67,645,2,6366.0
190,67,703,1,374.0
191,68,810,2,8894.85
192,68,634,1,5201.25
193,68,232,1,3531.6
194,69,984,1,5334.0
195,69,758,1,9112.0
196,70,161,1,8142.3
197,70,3,1,9035.0
198,70,419,1,7892.0
199,71,807,2,3296.0
200,71,811,1,571.5
201,71,641,1,842.0
202,71,604,3,1069.0
203,72,767,1,1492.0
204,72,845,1,5704.75
205,73,506,1,8836.9
206,73,449,2,7175.7
207,73,83,1,4372.0
208,74,602,2,7893.0
209,74,974,1,5044.0
210,74,22,1,4295.9
211,74,784,3,2723.0
212,75,94,1,9164.0
213,75,482,2,8997.0
214,75,357,1,1574.15
215,76,564,1,737.0
216,76,38,1,2556.45
217,76,466,2,8543.0
218,76,91,2,8100.0
219,77,638,1,9339.0
220,77,775,1,7208.1
221,77,511,1,5792.0
222,78,997,1,607.0
223,78,646,2,1414.0
224,79,862,1,2390.0
225,79,935,1,2390.0
226,80,280,1,4219.9
227,80,426,1,5023.8
228,80,855,1,5002.0
229,81,72,2,4222.75
230,81,283,1,1098.9
231,82,858,4,5560.35
232,82,602,2,7498.35
233,82,594,1,4301.0
234,83,956,2,7828.0
235,83,330,1,6623.0
236,84,936,1,3741.0
237,84,831,1,6886.0
238,84,391,1,3483.0
239,85,103,1,6149.0
240,85,539,1,8033.0
241,85,933,1,7508.0
242,85,468,1,5586.0
243,86,547,1,5190.8
244,86,390,2,2216.0
245,86,978,1,4925.0
246,87,101,1,258.0
247,87,779,1,7901.0
248,88,368,1,9213.0
249,88,384,1,8835.3
250,89,392,1,5311.8
251,89,635,1,3291.75
252,89,700,1,7192.45
253,90,923,1,2513.7
254,90,295,3,5184.9
255,90,694,1,5576.5
256,90,560,2,1943.7
257,91,110,1,4165.0
258,91,243,4,439.0
259,91,391,1,3676.5
260,91,586,1,7228.8
261,92,926,2,5151.0
