id,customer_id,order_date,status
1,1825,2025-04-02 14:55:04,completed
2,521,2025-02-17 19:42:25,completed
3,9655,2026-07-08 04:55:56,completed
4,5515,2025-06-23 02:21:28,completed
5,2046,2025-06-22 00:23:31,cancelled
6,751,2026-04-24 11:02:17,shipped
7,5978,2025-06-03 22:43:32,completed
8,8752,2025-01-05 22:02:34,shipped
9,5169,2024-10-22 09:50:41,completed
10,6483,2026-01-13 07:37:37,processing
11,6544,2024-12-17 10:41:25,completed
12,6253,2025-08-30 13:04:55,completed
13,1828,2025-01-01 20:16:26,completed
14,8318,2024-12-28 17:07:48,completed
15,5311,2024-11-26 21:21:54,completed
16,2061,2025-09-05 03:54:19,completed
17,7398,2025-02-22 12:39:42,completed
18,965,2026-08-05 06:15:07,completed
19,8835,2026-08-28 15:14:56,completed
20,888,2026-01-15 21:39:48,shipped
21,8787,2025-07-25 16:26:36,completed
22,1605,2025-10-25 21:17:21,completed
23,6210,2025-07-01 05:59:19,completed
24,7974,2025-04-19 11:02:04,completed
25,822,2025-09-26 13:48:36,completed
26,4034,2024-10-01 20:50:16,completed
27,3911,2024-12-11 15:44:51,completed
28,1201,2025-09-28 22:22:26,completed
29,7180,2026-03-01 10:56:04,processing
30,2201,2026-07-24 01:26:48,completed
31,3336,2026-06-25 11:26:49,shipped
32,4534,2025-05-18 01:56:39,completed
33,9544,2025-07-31 19:48:17,completed
34,4089,2025-06-02 17:02:50,shipped
35,2939,2025-05-17 00:23:08,shipped
36,3270,2025-08-24 12:40:26,processing
37,6529,2026-07-04 08:42:23,completed
38,5426,2024-11-29 14:07:32,cancelled
39,1895,2025-11-22 20:22:47,completed
40,3229,2024-10-25 08:24:21,completed
41,2852,2025-04-22 18:06:43,completed
42,9940,2025-08-28 04:00:28,shipped
43,8446,2025-12-25 23:51:28,shipped
44,2415,2025-03-10 04:11:43,completed
45,6966,2026-05-18 13:41:37,completed
46,6992,2025-10-31 13:04:23,processing
47,4544,2025-10-10 21:43:57,shipped
48,1321,2025-02-27 15:01:34,completed
49,7634,2025-02-08 15:40:19,completed
50,6390,2026-06-12 03:06:40,processing
51,3596,2025-09-13 05:01:21,completed
52,2092,2025-10-20 20:47:09,cancelled
53,2224,2025-01-20 03:40:27,processing
54,4559,2026-06-09 04:11:32,shipped
55,3674,2026-04-30 19:14:21,shipped
56,6044,2025-12-16 15:54:48,completed
57,1670,2025-04-23 05:54:30,shipped
58,208,2026-06-01 17:21:32,processing
59,4426,2026-08-16 06:54:55,completed
60,4570,2025-03-09 09:56:37,processing
61,4582,2026-02-27 15:00:43,processing
62,7343,2024-11-12 06:38:23,shipped
63,8699,2026-04-03 09:14:38,completed
64,3034,2026-03-28 16:35:18,completed
65,2940,2026-03-04 22:25:15,completed
66,1681,2025-11-20 21:19:56,processing
67,1870,2025-07-09 05:43:40,processing
68,1941,2025-07-21 06:02:44,completed
69,7026,2025-12-27 08:47:17,completed
70,1331,2025-01-14 00:07:08,completed
71,7439,2025-03-01 07:20:05,completed
72,1170,2026-05-09 15:40:01,completed
73,4983,2025-03-31 11:02:11,shipped
74,3751,2026-06-12 07:23:51,cancelled
75,9591,2026-05-26 10:37:32,completed
76,4723,2025-07-09 00:58:14,shipped
77,7570,2025-01-24 16:47:30,completed
78,7179,2025-09-12 11:40:57,processing
79,9025,2025-07-14 21:29:50,completed
80,8166,2025-04-15 16:41:36,cancelled
81,9821,2026-07-15 23:49:45,completed
82,4378,2025-04-08 16:30:01,processing
